stat	L	value
B	03	0,33
IT	03	0,1
LRT	03	100
B	06	0,33
IT	06	0,1
LRT	06	100
B	14	0,33
IT	14	0,1
LRT	14	100
B	16	0,33
IT	16	0,1
LRT	16	100
B	17	0,33
IT	17	0,1
LRT	17	100
B	25	0,33
IT	25	0,1
LRT	25	100
B	51	0,33
IT	51	0,1
LRT	51	100
B	57	0,33
IT	57	0,1
LRT	57	100
B	63	0,33
IT	63	0,1
LRT	63	100
B	64	0,33
IT	64	0,1
LRT	64	100
B	65	0,33
IT	65	0,1
LRT	65	100
B	67	0,33
IT	67	0,1
LRT	67	100
B	68	0,33
IT	68	0,1
LRT	68	100
